id,email,dog_name,breed_id,size,dog_friendly,people_friendly,energy,city,state,bio,createdAt,updatedAt,latitude,longitude
1,Tinkerdellelover13@test.com,Tinkerdelle,318,extra large,FALSE,FALSE,low,Los Angeles,CO,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.67495623,-117.8240157
2,Pepperlover28@test.com,Pepper,265,extra large,TRUE,TRUE,low,Los Angeles,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.25558351,-117.7530379
3,Grey Foxlover19@test.com,Grey Fox,160,small,TRUE,FALSE,low,Los Angeles,NY,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.21472178,-117.3631603
4,Hannahlover2@test.com,Hannah,110,extra small,FALSE,FALSE,average,Honolulu,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.25516531,-117.0250423
5,Daisylover5@test.com,Daisy,98,medium,FALSE,FALSE,high,Denver,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.92445971,-117.7834724
6,Kukulalover20@test.com,Kukula,281,extra small,TRUE,FALSE,high,Los Angeles,CO,A little shy at first but will become your pet's best friend in no time,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.75069158,-118.1333484
7,Stanleighlover29@test.com,Stanleigh,276,extra large,TRUE,TRUE,average,Honolulu,CA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.96092014,-117.306734
8,Gunnerlover5@test.com,Gunner,204,extra large,FALSE,TRUE,average,New York,HA,Rambunctious little fellow who loves playing with their siblings.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.30961086,-118.2817977
9,Rhiannonlover17@test.com,Rhiannon,85,medium,TRUE,FALSE,low,Honolulu,HA,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.21875513,-117.0391621
10,Letolover22@test.com,Leto,7,large,TRUE,FALSE,average,New York,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.57083147,-117.8869522
11,Noreelover6@test.com,Noree,193,small,TRUE,TRUE,average,Los Angeles,HA,Loves to run and jump and play with all sorts of new friends. Total sweetheart!,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.74631805,-117.9400177
12,Pinwheellover19@test.com,Pinwheel,300,extra small,FALSE,TRUE,average,Honolulu,TX,null,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,33.29129022,-117.4569789
13,Ashleylover13@test.com,Ashley,296,extra large,FALSE,TRUE,average,Los Angeles,TX,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.69850097,-118.2411181
14,Friskylover19@test.com,Frisky,86,large,TRUE,TRUE,average,Denver,TX,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.66176324,-117.6883345
15,Springfieldlover8@test.com,Springfield,199,extra large,TRUE,TRUE,average,New York,NY,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.38300452,-118.3645544
16,Diegolover13@test.com,Diego,256,small,FALSE,FALSE,average,Los Angeles,CA,Could spend hours hiking everyday. They're a handful but they're the best.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.68219631,-116.844547
17,Lou-Loulover23@test.com,Lou-Lou,354,medium,FALSE,FALSE,low,New York,NY,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.48825619,-117.6931939
18,Eleanorlover26@test.com,Eleanor,18,extra small,FALSE,FALSE,average,Denver,CA,Total cuddlebug Loves nothing more than curling up next to the fire on a cold evening.,2022-11-22 15:56:46.615-08,2022-11-22 15:56:46.615-08,32.69300685,-117.3662436
